Symbol,Name,Dividend Yield,AUM ,Price Decay,Rating
YBST,GraniteShares YieldBOOST Single Stock Universe ETF,44%,2M,YES,C+
YBTY,GraniteShares YieldBOOST TopYielders ETF,53%,2M,YES,C-
AMYY,GraniteShares YieldBOOST AMD ETF,68%,9.5M,YES,C+
XBTY,GraniteShares YieldBOOST Bitcoin ETF,31%,11M,YES,C-
COYY,GraniteShares YieldBOOST COIN ETF,63%,18M,YES,C-
HOYY,GraniteShares YieldBOOST HOOD ETF,73%,6M,YES,C-
NVYY,GraniteShares YieldBOOST NVDA ETF,39%,30M,YES,B-
TQQY,GraniteShares YieldBOOST QQQ ETF,25%,6M,YES,C-
SMYY,GraniteShares YieldBOOST SMCI ETF,71%,7M,YES,C-
YSPY,GraniteShares YieldBOOST SPY ETF,10%,9M,YES,C-
TSYY,GraniteShares YieldBOOST TSLA ETF,44%,62M,YES,C-
AHD,GraniteShares Autocallable HOOD ETF,26%,2M,NO,B
CONY,YieldMax COIN Option Income Strategy ETF,85%,348M,YES,C
ULTY,YieldMax Ultra Option Income Strategy ETF,61%,732M,YES,C
MSTY,YieldMax MSTR Option Income Strategy ETF,101%,915M,YES,C+
SMCY,YieldMax SMCI Option Income Strategy ETF,101%,149M,YES,D
TSLY,YieldMax TSLA Option Income Strategy ETF,51%,691M,YES,D
YBIT,YieldMax Bitcoin Option Income Strategy ETF,76%,45M,YES,C-
PLTY,YieldMax PLTR Option Income Strategy ETF,40%,393M,YES,C-
NVDY,YieldMax NVDA Option Income Strategy ETF,40%,1390M,YES,C
AMDY,YieldMax AMD Option Income Strategy ETF,46%,374M,YES,C
SNOY,YieldMax SNOW Option Income Strategy ETF,61%,67M,YES,C-
YMAX,YieldMax Universe Fund of Option Income ETFs,40%,378M,YES,C-
PYPY,YieldMax PYPL Option Income Strategy ETF,30%,22M,YES,C
AMZY,YieldMax AMZN Option Income Strategy ETF,25%,233M,YES,C
GOOY,YieldMax GOOGL Option Income Strategy ETF,23%,226M,YES,B-
BABO,YieldMax BABA Option Income Strategy ETF,36%,25M,YES,C-
OARK,YieldMax Innovation Option Income Strategy ETF,36%,47M,YES,D
HOOY,YieldMax HOOD Option Income Strategy ETF,101%,118M,YES,A-
